edad,hombre,estrato_energia,tipo_ocupacion,maximo_nivel_educativo,ocupado,nivel_educativo_alto,grado_escolar_aprobado,actividad_ultima_semana,cotizante,pet,llave_hogar,llave_persona,llave_vivienda,horas_trabajadas,ingreso_total,tamanio_firma,informal,chunk,chunk_origen,ans_educ,nivel_educ,exp_potencial,estrato_factor,ln_ingreso_total,edu_may_10,mujer
45,1,2,1,4,1,3,5,1,1,1,1,1,4514364,45,1500000,3,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,34,2,14.22097566607244,0,0
20,1,2,1,7,1,6,2,1,1,1,1,3,4514364,60,786000,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,12,terciaria,2,2,13.574712071411344,1,0
49,1,2,1,6,1,5,11,1,1,1,1,1,4514365,48,1283140,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,32,2,14.064820756896454,1,0
47,0,2,4,6,1,5,10,4,2,1,1,1,4514366,9,200000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,10,media,31,2,12.206072645530174,0,1
24,1,2,4,6,1,5,11,1,2,1,1,1,4514367,60,850000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,7,2,13.652991628466498,1,0
27,1,2,1,7,1,6,1,1,1,1,1,2,4514368,42,1333140,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11.5,terciaria,9.5,2,14.103047619902538,1,0
24,0,2,1,7,1,6,7,6,1,1,1,3,4514369,40,3050000,4,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,14.5,terciaria,3.5,2,14.930652148583594,1,1
47,0,2,1,7,1,6,8,1,1,1,1,1,4514369,84,2283333.25,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,15,terciaria,26,2,14.641146885073947,1,1
55,1,2,4,5,1,4,9,1,1,1,1,2,4514369,48,1800000,1,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,9,secundaria,40,2,14.403297222866392,0,0
21,1,3,1,7,1,6,4,6,2,1,2,2,4514370,15,350000,3,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,13,terciaria,2,3,12.765688433465597,1,0
29,1,2,1,6,1,5,11,1,2,1,1,1,4514371,48,820857,2,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,12,2,13.618104195431933,1,0
63,0,3,4,6,1,5,11,1,2,1,1,1,4514372,48,500000,1,1,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,11,media,46,3,13.122363377404328,1,1
35,1,2,1,4,1,3,5,1,1,1,1,2,4514374,56,1513140,5,0,1,https://ignaciomsarmiento.github.io/GEIH2018_sample/pages/geih_page_1.html,5,primaria,24,2,14.229697519884308,0,0
